model,variant,n_lengths_ours,n_lengths_json,max_abs_diff,status,detail_lengths_mismatch
gemma3:12b,simplified,12,12,4.545454545457073e-05,OK,
gemma3:12b,simplified_q,12,12,4.545454545457073e-05,OK,
gemma3:12b,traditional,12,12,3.636363636361217e-05,OK,
gemma3:1b,simplified,9,9,4.545454545457073e-05,OK,
gemma3:1b,simplified_q,9,9,4.545454545457073e-05,OK,
gemma3:1b,traditional,9,9,4.545454545457073e-05,OK,
gemma3:27b,simplified,12,12,3.636363636361217e-05,OK,
gemma3:27b,simplified_q,12,12,4.545454545457073e-05,OK,
gemma3:27b,traditional,12,12,9.090909090958554e-06,OK,
gemma3:4b,simplified,12,12,3.6363636363723195e-05,OK,
gemma3:4b,simplified_q,12,12,4.545454545457073e-05,OK,
gemma3:4b,traditional,12,12,4.545454545457073e-05,OK,
gemma4:26b,simplified,12,12,1.8181818181806086e-05,OK,
gemma4:26b,simplified_q,12,12,2.727272727276464e-05,OK,
gemma4:26b,traditional,12,12,2.727272727276464e-05,OK,
gemma4:31b,simplified,12,12,0.0,OK,
gemma4:31b,simplified_q,12,12,0.0,OK,
gemma4:31b,traditional,12,12,0.0,OK,
gemma4:e2b,simplified,12,12,9.090909090958554e-06,OK,
gemma4:e2b,simplified_q,12,12,0.0,OK,
gemma4:e2b,traditional,12,12,9.090909090958554e-06,OK,
gemma4:e4b,simplified,12,12,9.090909090958554e-06,OK,
gemma4:e4b,simplified_q,12,12,9.090909090958554e-06,OK,
gemma4:e4b,traditional,12,12,9.090909090958554e-06,OK,
llama3.1:70b,simplified,12,12,4.545454545457073e-05,OK,
llama3.1:70b,simplified_q,12,12,4.545454545457073e-05,OK,
llama3.1:70b,traditional,12,12,4.545454545457073e-05,OK,
llama3.1:8b,simplified,12,12,4.545454545457073e-05,OK,
llama3.1:8b,simplified_q,12,12,3.636363636361217e-05,OK,
llama3.1:8b,traditional,12,12,4.545454545457073e-05,OK,
llama3.3:70b,simplified,12,12,3.636363636361217e-05,OK,
llama3.3:70b,simplified_q,12,12,2.727272727265362e-05,OK,
llama3.3:70b,traditional,12,12,2.727272727276464e-05,OK,
qwen3.5:27b,simplified,12,12,9.090909090958554e-06,OK,
qwen3.5:27b,simplified_q,12,12,9.090909090958554e-06,OK,
qwen3.5:27b,traditional,12,12,0.0,OK,
qwen3.5:2b,simplified,12,12,0.0,OK,
qwen3.5:2b,simplified_q,12,12,0.0,OK,
qwen3.5:2b,traditional,12,12,9.090909090958554e-06,OK,
qwen3.5:35b,simplified,12,12,0.0,OK,
qwen3.5:35b,simplified_q,12,12,0.0,OK,
qwen3.5:35b,traditional,12,12,0.0,OK,
qwen3.5:4b,simplified,12,12,0.0,OK,
qwen3.5:4b,simplified_q,12,12,0.0,OK,
qwen3.5:4b,traditional,12,12,0.0,OK,
qwen3.5:9b,simplified,12,12,0.0,OK,
qwen3.5:9b,simplified_q,12,12,0.0,OK,
qwen3.5:9b,traditional,12,12,0.0,OK,
qwen3:8b,simplified,10,10,4.5454545454515216e-05,OK,
qwen3:8b,simplified_q,10,10,3.6363636363667684e-05,OK,
qwen3:8b,traditional,10,10,9.090909090903043e-06,OK,
