model,n_total,n_changed_by_reeval,pct_changed,raw_overall_acc,reeval_overall_acc,delta_acc
gemma3:12b,3960,189,4.77,0.929,0.9768,0.0477
gemma3:1b,2970,298,10.03,0.6923,0.7926,0.1003
gemma3:27b,3960,481,12.15,0.7646,0.8861,0.1215
gemma3:4b,3960,258,6.52,0.8576,0.9227,0.0652
gemma4:26b,3960,5,0.13,0.9934,0.9947,0.0013
gemma4:31b,3960,1,0.03,0.9997,1.0,0.0003
gemma4:e2b,3960,0,0.0,0.9992,0.9992,0.0
gemma4:e4b,3960,0,0.0,0.9992,0.9992,0.0
llama3.1:70b,3960,1665,42.05,0.5568,0.9773,0.4205
llama3.1:8b,3960,260,6.57,0.9056,0.9712,0.0657
llama3.3:70b,3960,731,18.46,0.8,0.9846,0.1846
qwen3.5:27b,3960,123,3.11,0.9684,0.9995,0.0311
qwen3.5:2b,3960,302,7.63,0.9232,0.9995,0.0763
qwen3.5:35b,3960,102,2.58,0.9742,1.0,0.0258
qwen3.5:4b,3960,0,0.0,1.0,1.0,0.0
qwen3.5:9b,3960,213,5.38,0.9462,1.0,0.0538
qwen3:8b,3300,28,0.85,0.9348,0.9433,0.0085
